signal,entry_price,stop_loss,take_profit,reason,timestamp,exit_price,exit_reason
Sell Entry,45184.82,45992.8328,44261.3768,EMA Cross,2024-01-02 15:55:00,,
Sell Exit,,,,,2024-01-03 11:20:00,44519.4508,Take Profit Triggered
Sell Entry,44358.36,44946.478650000005,43686.2244,EMA Cross,2024-01-03 11:25:00,,
Sell Exit,,,,,2024-01-03 11:55:00,43645.0776,Take Profit Triggered
Sell Entry,43483.28,44406.89255,42427.722799999996,EMA Cross,2024-01-05 02:35:00,,
Sell Exit,,,,,2024-01-05 20:50:00,44241.282349999994,Stop Loss Triggered
Sell Entry,43579.67,44250.0187,42813.557199999996,EMA Cross,2024-01-06 06:40:00,,
Sell Exit,,,,,2024-01-06 16:10:00,43959.2814,Stop Loss Triggered
Sell Entry,43978.45,44389.0651,43509.175599999995,EMA Cross,2024-01-07 22:40:00,,
Sell Exit,,,,,2024-01-08 02:35:00,43407.47839999999,Take Profit Triggered
Sell Entry,46591.1,47454.41945,45604.449199999995,EMA Cross,2024-01-09 08:50:00,,
Sell Exit,,,,,2024-01-09 12:55:00,45758.16759999999,Take Profit Triggered
Sell Entry,46640.5,47398.5244,45774.1864,EMA Cross,2024-01-09 18:55:00,,
Sell Exit,,,,,2024-01-09 21:10:00,47440.7764,Stop Loss Triggered
Sell Entry,45893.99,46853.87375,44796.979999999996,EMA Cross,2024-01-09 21:30:00,,
Sell Exit,,,,,2024-01-10 12:50:00,44748.7772,Take Profit Triggered
Sell Entry,45865.4,47310.4331,44213.933600000004,EMA Cross,2024-01-11 06:35:00,,
Sell Exit,,,,,2024-01-11 11:20:00,47080.0281,Stop Loss Triggered
Sell Entry,46318.01,47423.3191,45054.7996,EMA Cross,2024-01-11 18:15:00,,
Sell Exit,,,,,2024-01-12 14:35:00,45488.8928,Take Profit Triggered
Sell Entry,42715.82,43610.119,41693.764,EMA Cross,2024-01-13 10:45:00,,
Sell Exit,,,,,2024-01-14 20:00:00,42278.0636,Take Profit Triggered
Sell Entry,42397.54,42955.3476,41760.0456,EMA Cross,2024-01-15 15:10:00,,
Sell Exit,,,,,2024-01-15 18:20:00,42877.88,Stop Loss Triggered
Sell Entry,42490.38,43057.227399999996,41842.5544,EMA Cross,2024-01-16 00:05:00,,
Sell Exit,,,,,2024-01-16 08:45:00,42994.984449999996,Stop Loss Triggered
Sell Entry,42593.84,43112.368149999995,42001.236399999994,EMA Cross,2024-01-16 15:10:00,,
Sell Exit,,,,,2024-01-16 15:30:00,43135.75059999999,Stop Loss Triggered
Sell Entry,42997.25,43628.16035,42276.2096,EMA Cross,2024-01-17 02:55:00,,
Sell Exit,,,,,2024-01-17 12:35:00,42518.3104,Take Profit Triggered
Sell Entry,42476.0,42848.9824,42049.7344,EMA Cross,2024-01-18 11:10:00,,
Sell Exit,,,,,2024-01-18 16:40:00,42054.9292,Take Profit Triggered
Sell Entry,40969.31,41421.976899999994,40451.9764,EMA Cross,2024-01-19 14:55:00,,
Sell Exit,,,,,2024-01-19 16:40:00,40376.4228,Take Profit Triggered
Sell Entry,41586.94,42111.36845,40987.5932,EMA Cross,2024-01-20 08:50:00,,
Sell Exit,,,,,2024-01-20 21:05:00,41835.63740000001,Stop Loss Triggered
Sell Entry,41654.99,41857.6743,41423.3508,EMA Cross,2024-01-21 06:05:00,,
Sell Exit,,,,,2024-01-21 13:35:00,41827.88615,Stop Loss Triggered
Sell Entry,41607.18,41782.97345,41406.2732,EMA Cross,2024-01-21 16:55:00,,
Sell Exit,,,,,2024-01-21 21:55:00,41794.6792,Stop Loss Triggered
Sell Entry,39761.11,40291.39675,39155.068,EMA Cross,2024-01-24 18:55:00,,
Sell Exit,,,,,2024-01-25 11:05:00,40129.21235,Stop Loss Triggered
Sell Entry,39853.59,40220.443549999996,39434.328799999996,EMA Cross,2024-01-25 13:20:00,,
Sell Exit,,,,,2024-01-26 09:15:00,40199.20344999999,Stop Loss Triggered
Sell Entry,41807.55,42307.11725,41236.616,EMA Cross,2024-01-27 05:25:00,,
Sell Exit,,,,,2024-01-27 20:35:00,42050.759750000005,Stop Loss Triggered
Sell Entry,42280.0,42655.78345,41850.5332,EMA Cross,2024-01-28 15:50:00,,
Sell Exit,,,,,2024-01-28 19:40:00,41794.1772,Take Profit Triggered
Sell Entry,41975.99,42369.858649999995,41525.8544,EMA Cross,2024-01-29 13:45:00,,
Sell Exit,,,,,2024-01-29 15:50:00,42387.53995,Stop Loss Triggered
Sell Entry,43245.19,43662.19925,42768.60800000001,EMA Cross,2024-01-30 13:45:00,,
Sell Exit,,,,,2024-01-30 20:25:00,43698.597499999996,Stop Loss Triggered
Sell Entry,42952.18,43451.565599999994,42381.4536,EMA Cross,2024-01-30 23:30:00,,
Sell Exit,,,,,2024-01-31 10:50:00,42456.4272,Take Profit Triggered
Sell Entry,42430.53,43046.2913,41726.8028,EMA Cross,2024-01-31 21:40:00,,
Sell Exit,,,,,2024-02-01 15:25:00,42898.585349999994,Stop Loss Triggered
Sell Entry,43010.65,43438.94465,42521.1704,EMA Cross,2024-02-02 09:20:00,,
Sell Exit,,,,,2024-02-02 13:50:00,42617.353200000005,Take Profit Triggered
Sell Entry,42886.02,43287.05805,42427.6908,EMA Cross,2024-02-02 18:40:00,,
Sell Exit,,,,,2024-02-03 00:15:00,43297.118449999994,Stop Loss Triggered
Sell Entry,43033.3,43323.71775,42701.394,EMA Cross,2024-02-03 08:20:00,,
Sell Exit,,,,,2024-02-03 17:45:00,43209.488950000006,Stop Loss Triggered
Sell Entry,43040.76,43221.0303,42834.7368,EMA Cross,2024-02-03 20:25:00,,
Sell Exit,,,,,2024-02-04 06:30:00,42822.075600000004,Take Profit Triggered
Sell Entry,42894.93,43085.861300000004,42676.722799999996,EMA Cross,2024-02-04 16:25:00,,
Sell Exit,,,,,2024-02-04 19:05:00,42665.058,Take Profit Triggered
Sell Entry,42679.93,43083.7936,42218.3716,EMA Cross,2024-02-05 17:00:00,,
Sell Exit,,,,,2024-02-06 08:15:00,43047.1248,Stop Loss Triggered
Sell Entry,43002.51,43402.5838,42545.2828,EMA Cross,2024-02-07 03:05:00,,
Sell Exit,,,,,2024-02-07 14:45:00,43273.827900000004,Stop Loss Triggered
Sell Entry,47079.75,47951.019,46084.014,EMA Cross,2024-02-10 00:45:00,,
Sell Exit,,,,,2024-02-10 19:15:00,47390.439750000005,Stop Loss Triggered
Sell Entry,48112.0,48592.8762,47562.427200000006,EMA Cross,2024-02-11 16:20:00,,
Sell Exit,,,,,2024-02-12 00:25:00,48574.345799999996,Stop Loss Triggered
Sell Entry,48092.01,48581.14585,47532.9976,EMA Cross,2024-02-12 04:40:00,,
Sell Exit,,,,,2024-02-12 14:45:00,48576.82825,Stop Loss Triggered
Sell Entry,49829.19,50367.6244,49213.8364,EMA Cross,2024-02-13 11:20:00,,
Sell Exit,,,,,2024-02-13 13:35:00,49234.070400000004,Take Profit Triggered
Sell Entry,51967.25,52733.12595,51091.9632,EMA Cross,2024-02-15 18:05:00,,
Sell Exit,,,,,2024-02-16 14:00:00,52541.7869,Stop Loss Triggered
Sell Entry,51738.47,52343.49575,51047.012,EMA Cross,2024-02-16 15:35:00,,
Sell Exit,,,,,2024-02-17 13:25:00,51395.924,Take Profit Triggered
Sell Entry,52147.04,52633.82525,51590.714,EMA Cross,2024-02-19 15:05:00,,
Sell Exit,,,,,2024-02-20 00:40:00,51571.712,Take Profit Triggered
Sell Entry,51615.08,52113.977000000006,51044.912,EMA Cross,2024-02-20 09:25:00,,
Sell Exit,,,,,2024-02-20 10:45:00,52090.29950000001,Stop Loss Triggered
Sell Entry,51636.81,52307.3708,50870.45479999999,EMA Cross,2024-02-20 16:40:00,,
Sell Exit,,,,,2024-02-20 17:20:00,50844.54119999999,Take Profit Triggered
Sell Entry,51635.0,52258.143149999996,50922.8364,EMA Cross,2024-02-21 07:00:00,,
Sell Exit,,,,,2024-02-21 09:55:00,51006.4608,Take Profit Triggered
